Designator,Mid X,Mid Y,Layer,Rotation
A1,100.000000,-33.000000,Top,0.000000
C1,116.000000,-92.000000,Top,0.000000
C2,113.000000,-130.000000,Top,0.000000
C3,140.000000,-96.000000,Top,0.000000
C11,156.000000,-42.000000,Top,90.000000
C12,156.000000,-67.000000,Top,90.000000
C13,166.000000,-42.000000,Top,90.000000
C14,140.000000,-78.000000,Top,0.000000
C15,117.000000,-44.000000,Top,90.000000
C16,133.400000,-216.400000,Top,90.000000
D1,164.000000,-78.000000,Top,0.000000
D3,164.000000,-100.000000,Top,0.000000
D5,164.000000,-122.000000,Top,0.000000
D7,164.000000,-144.000000,Top,0.000000
D9,164.000000,-166.000000,Top,0.000000
D11,164.000000,-188.000000,Top,0.000000
D15,152.000000,-35.000000,Top,0.000000
D16,159.000000,-35.000000,Top,0.000000
D17,122.000000,-20.000000,Top,0.000000
D18,62.000000,-11.200000,Top,180.000000
D19,70.000000,-14.490000,Top,-90.000000
D20,62.000000,-19.950000,Top,180.000000
D21,70.000000,-20.189999,Top,-90.000000
D22,62.000000,-22.599999,Top,180.000000
D23,70.000000,-25.889999,Top,-90.000000
D24,62.000000,-28.300000,Top,180.000000
D25,70.000000,-31.590000,Top,-90.000000
D26,62.000000,-34.000000,Top,180.000000
D27,70.000000,-37.290000,Top,-90.000000
D28,62.000000,-39.700000,Top,180.000000
D29,70.000000,-42.990000,Top,-90.000000
D30,62.000000,-45.400000,Top,180.000000
D31,70.000000,-48.690000,Top,-90.000000
D32,62.000000,-51.100000,Top,180.000000
D33,70.000000,-54.390000,Top,-90.000000
D34,62.000000,-56.800000,Top,180.000000
D35,70.000000,-60.090000,Top,-90.000000
D36,62.000000,-62.500000,Top,180.000000
D37,70.000000,-65.790000,Top,-90.000000
D38,62.000000,-68.200000,Top,180.000000
D39,70.000000,-71.490000,Top,-90.000000
D40,62.000000,-73.900000,Top,180.000000
D41,70.000000,-77.190000,Top,-90.000000
D42,62.000000,-79.600000,Top,180.000000
D43,70.000000,-82.890000,Top,-90.000000
D44,62.000000,-85.300000,Top,180.000000
D45,70.000000,-88.590000,Top,-90.000000
D46,62.000000,-91.000000,Top,180.000000
D47,70.000000,-94.289999,Top,-90.000000
D48,62.000000,-96.700000,Top,180.000000
D49,70.000000,-99.990000,Top,-90.000000
D50,62.000000,-102.400000,Top,180.000000
D51,70.000000,-105.690000,Top,-90.000000
D52,62.000000,-108.100000,Top,180.000000
