Comment,Designator,Footprint,Quantity,LCSC Part #
RP2040 Pico,A1,RaspberryPi_Pico_SMD,1,
0.1uF,"C1,C2,C3,C12",C_0805_2012Metric,4,
100uF/16V,C11,CP_Elec_6.3x5.4,1,
10nF,C13,C_0805_2012Metric,1,
10uF,C14,C_0805_2012Metric,1,
100nF,C15,C_0805_2012Metric,1,
1N4148,"D1,D3,D5,D7,D9,D11,D15,D16",D_SOD-323,8,
SS34,D17,D_SMA,1,
J_PI,J1,IDC-Header_2x10_P2.54mm_Vertical,1,
J_PWR 5V,J2,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1,
J_FAST_IN,J3,"PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4",1,
J_SLOW_IN_A,J4,"PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical_D1.4",1,
J_SLOW_IN_B,J5,"PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical_D1.4",1,
J_MOTION_S 5.08mm,J6,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_MOTION_T 5.08mm,J7,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_MOTION_SP 5.08mm,J8,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_MOTION_BE 5.08mm,J9,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_MOTION_M 5.08mm,J10,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_MOTION_M2 5.08mm,J11,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,
J_LAMP_LED,J13,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4",1,
J_SAFETY,J14,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical_D1.4",1,
J_SLOW_IN_C,J15,"PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4",1,
J_EXT_I2C,J16,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4",1,
G5LE S,K1,Relay_SPDT_Omron-G5LE-1,1,
G5LE T,K2,Relay_SPDT_Omron-G5LE-1,1,
G5LE SP,K3,Relay_SPDT_Omron-G5LE-1,1,
G5LE BE,K4,Relay_SPDT_Omron-G5LE-1,1,
G5LE M,K5,Relay_SPDT_Omron-G5LE-1,1,
G5LE M2,K6,Relay_SPDT_Omron-G5LE-1,1,
MMBT3904 S,Q1,SOT-23,1,
MMBT3904 T,Q2,SOT-23,1,
MMBT3904 SP,Q3,SOT-23,1,
MMBT3904 BE,Q4,SOT-23,1,
MMBT3904 M,Q5,SOT-23,1,
MMBT3904 M2,Q6,SOT-23,1,
2N7002 LED L_FIRST,Q8,SOT-23,1,
2N7002 LED L_SECOND,Q9,SOT-23,1,
2N7002 LED L_STRIKE,Q10,SOT-23,1,
2N7002 LED L_FOUL,Q11,SOT-23,1,
AO3400A kick,Q12,SOT-23,1,
AO3400A wdog,Q13,SOT-23,1,
AO3401A rail pass,Q14,SOT-23,1,
MMBT3904 AND ARM,Q15,SOT-23,1,
MMBT3904 AND RP_OK,Q16,SOT-23,1,
2N7002 TAP 555,Q17,SOT-23,1,
2N7002 TAP KICK,Q18,SOT-23,1,
2N7002 TAP ARM,Q19,SOT-23,1,
2N7002 TAP RPOK,Q20,SOT-23,1,
4.7k,"R1,R2",R_0805_2012Metric,2,
2k2,"R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53,R55,R57,R59,R61,R63,R65,R67,R69,R71,R73,R75,R77,R79,R81,R122,R123",R_0805_2012Metric,42,
10k,"R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R68,R70,R72,R74,R76,R78,R80,R82,R117,R119,R121,R125,R127,R129,R130,R132,R134,R137,R140",R_0805_2012Metric,51,
1k,"R83,R86,R89,R92,R95,R98,R104,R107,R110,R113,R118,R120",R_0805_2012Metric,12,
100k,"R84,R87,R90,R93,R96,R99,R105,R108,R111,R114,R116,R124,R126,R128",R_0805_2012Metric,14,
330R,"R106,R109,R112,R115",R_0805_2012Metric,4,
1M,"R131,R133,R136,R139",R_0805_2012Metric,4,
10M,"R135,R138,R141",R_0805_2012Metric,3,
MCP23017 MCP_IN_A,U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,
